,activity,paseos,charge,radiation,thermal,los_check
0.25,28.64409333333333,0.42581800000000003,0.11461016666666667,0.008559666666666667,0.11461016666666667,0.286702
0.5,28.59259333333333,0.227514,0.06171566666666667,0.004428333333333334,0.06171566666666667,0.14387233333333332
1.0,28.52508333333333,0.126795,0.03440466666666667,0.0024043333333333334,0.03440466666666667,0.07184166666666666
